variable,pct_missing,pct_frozen,pct_effective_missing,keep
P-MON-CKP,5.008780544074992e-05,0.011360824961333732,0.011410912766774481,True
P-JUS-CKGL,5.4641242298999916e-05,0.022744417106958716,0.022799058349257717,True
QGL,0.08548242904607016,0.004261637446250473,0.08974406649232064,True
T-PDG,0.2608808168258599,0.05940755233037309,0.320288369156233,True
T-TPT,0.2608808168258599,0.10079487829422185,0.36167569512008174,True
T-JUS-CKP,0.3463135375195608,0.05239374175638202,0.3987072792759428,True
P-PDG,0.3511583943367388,0.05931458632785049,0.41047298066458926,True
P-ANULAR,0.4307467788228759,0.012109106418372814,0.4428558852412487,True
P-TPT,0.14965097906481514,0.35031714687717713,0.49996812594199225,True
ABER-CKP,0.34913059712253147,0.596489983197818,0.9456205803203495,False
ABER-CKGL,0.34913401220017515,0.6029262661969543,0.9520602783971295,False
T-MON-CKP,1.0,0.0,1.0,False
QBS,1.0,0.0,1.0,False
PT-P,1.0,0.0,1.0,False
P-MON-SDV-P,1.0,0.0,1.0,False
ESTADO-DHSV,0.9202226478842456,0.07977735211575443,1.0,False
ESTADO-PXO,0.39561321893076196,0.604386781069238,1.0,False
P-JUS-CKP,1.0,0.0,1.0,False
ESTADO-M1,0.39561321893076196,0.604386781069238,1.0,False
P-JUS-BS,1.0,0.0,1.0,False
ESTADO-XO,0.39561321893076196,0.604386781069238,1.0,False
ESTADO-W2,0.39561321893076196,0.604386781069238,1.0,False
ESTADO-W1,0.3463169525972045,0.6536830474027955,1.0,False
ESTADO-SDV-P,0.2608808168258599,0.7391191831741402,1.0,False
ESTADO-SDV-GL,0.2608891647934333,0.7391108352065666,1.0,False
ESTADO-M2,0.39561321893076196,0.604386781069238,1.0,False
P-MON-CKGL,1.0,0.0,1.0,False
